_id,old_id,createdAt,email,fax,headquarter.country,headquarter.city,headquarter.zipCode,headquarter.address,isCharity,isLegacyData,logo,logoCropData.scd.left,logoCropData.scd.top,logoCropData.scd.width,logoCropData.scd.height,logoCropData.scd.naturalWidth,logoCropData.scd.naturalHeight,logoCropData.sd.x,logoCropData.sd.y,logoCropData.sd.width,logoCropData.sd.height,logoCropData.sd.rotate,logoCropData.sd.scaleX,logoCropData.sd.scaleY,marketplaces[0],name,paymentDetails.notifyEmail,paymentDetails.currency,phone,settlingDetails.amountThreshold,settlingDetails.transactionFee,settlingDetails.transactionFeeValue,settlingDetails.periodType,settlingDetails.settlingType,settlingDetails.startProportion,settlingDetails.finishProportion,settlingDetails.pifProportion,settlingDetails.fixedFee,status,updatedAt,vat,website
64c93aa25c8dd4f51ba6abb8,1179,2023-08-01T17:02:22.754Z,davejoe108@gmail.com,,Nigeria,Uyo,520101,"34 Ekpeyong street, by Gibbs street off Oron road",false,true,logo_1689688994.png,199.59198564433,44.182183513227,111.86137579614,111.86137579614,1080,1080,171.93294260186,69.68662552409,3970.0566602126,3970.0566602126,0,1,1,ng,BigChef Tavern,true,NGN,+2348166986987,0,0,0,monthly,1,50,40,10,0,active,2023-08-01T17:02:22.754Z,303283,
64c93aa25c8dd4f51ba6abb4,1170,2023-08-01T17:02:22.754Z,evaeduok@gmail.com,,Nigeria,Uyo,234,"52 Nwaniba,beside Polaris Bank,Uyo.",false,true,logo_1689587697.png,218.68530097478,50.099757418054,163.57100691928,163.77624030312,797,798,-5.0072597609743,7.5908054678264,2001.0619329973,2001.0619329973,0,1,1,ng,Looks Luxury Salon,true,NGN,+2349013509576,0,0,0,monthly,1,50,40,10,0,active,2023-08-01T17:02:22.754Z,908667,
64c93aa25c8dd4f51ba6abb3,1167,2023-08-01T17:02:22.754Z,umargizo2017@gmail.com,,Nigeria,Abuja,304412,"17, 61 Road, 6th Avenue, Gwarimpa, Abuja, Nigeria",false,true,logo_1689523864.png,,,,,,,,,,,,,,ng,Early-Child Tech Labs,true,NGN,+2348136473456,0,0,0,monthly,1,50,40,10,0,active,2023-08-01T17:02:22.754Z,2034339,
64c93aa25c8dd4f51ba6abb1,1164,2023-08-01T17:02:22.754Z,ddsaffordable@gmail.com,,Nigeria,Yenagoa,569101,Bayelsa state,false,true,logo_1689520058.png,,,,,,,,,,,,,,ng,Dd's Affordable,true,NGN,+2349153166888,0,0,0,monthly,1,50,40,10,0,active,2023-08-01T17:02:22.754Z,2034332,
64c93aa25c8dd4f51ba6abaf,1161,2023-08-01T17:02:22.754Z,blaisehilary19@gmail.com,,Nigeria,Uyo,101230,"45, Ikot Ekpene road, beside MTN office",false,true,logo_1689415909.png,,,,,,,,,,,,,,ng,SATOSHI STYLES AND SMILES,,,+2348103523063,0,,,monthly,,50,40,10,0,active,2023-08-03T13:42:56.306Z,2034334,
64c93aa25c8dd4f51ba6abac,1158,2023-08-01T17:02:22.754Z,atamakorukevwe94@gmail.com,,Nigeria,Effurun Warri,330102,"Osiah Estate, PTI Road",false,true,logo_1688955873.png,218.68530097478,50.099757418054,163.57100691928,163.77624030312,797,798,-5.0072597609743,7.5908054678264,2001.0619329973,2001.0619329973,0,1,1,ng,Rukkiz Interiors,true,NGN,+2349042421028,0,0,0,monthly,1,50,40,10,0,active,2023-08-01T17:02:22.754Z,2034334,
64c93aa25c8dd4f51ba6aba9,1155,2023-08-01T17:02:22.754Z,rebeccamichael0357@gmail.com,,Nigeria,Effurun Warri,330102,"Osiah Estate, PTI Road",false,true,logo_1688566908.png,,,,,,,,,,,,,,ng,LG Beauty,true,NGN,+2349131416652,0,0,0,monthly,1,50,40,10,0,active,2023-08-01T17:02:22.754Z,3433423,
64c93aa25c8dd4f51ba6aba4,1146,2023-08-01T17:02:22.754Z,1146,,Nigeria,Lagos,,45 adekuku,false,true,logo_1688402596.png,,,,,,,,,,,,,,ng,Adegool,true,NGN,+2349067910217,0,0,0,monthly,1,50,40,10,0,not-verified,2023-08-01T17:02:22.754Z,,
64c93aa25c8dd4f51ba6aba3,1143,2023-08-01T17:02:22.754Z,pif-test4@pif-app.com,,Nigeria,Ilorin,240211,Niger Rd,false,true,logo_1687597367.png,149.28125,2.62109375,514,514,500,500,66.263375486381,47.45029790856,400,400,0,1,1,ng,Jalasem,true,NGN,08168861541,0,0,0,daily,1,50,30,20,0,inactive,2023-08-01T17:02:22.754Z,0,
64c93aa25c8dd4f51ba6ab9b,1137,2023-08-01T17:02:22.754Z,marketing@deekaygroup.com,,Nigeria,Ikeja,901101,"144, Oba Akran, Ikeja, Lagos",false,true,logo_1687351317.png,206.97199820718,52.508338610001,101.69215981467,101.69215981467,1024,1024,105.0058712029,-11.160533306688,4140.6220574662,4140.6220574662,0,1,1,ng,Nexus,true,NGN,09062625099,0,0,0,monthly,1,50,40,10,0,active,2023-08-01T17:02:22.754Z,09898732-0001,
64c93aa25c8dd4f51ba6ab98,1131,2023-08-01T17:02:22.754Z,tolu.ybmconcept@gmail.com,,Nigeria,Lagos,876640,64 Aladelola Street,false,true,logo_1686826676.png,,,,,,,,,,,,,,ng,Notre food station,true,NGN,+2347035269532,0,0,0,monthly,1,50,40,10,0,active,2023-08-01T17:02:22.754Z,786643,
64c93aa25c8dd4f51ba6ab96,1125,2023-08-01T17:02:22.754Z,afolabimofiyinfoluwa2@gmail.com,,Nigeria,"Ibadan, Oyo State",901101,"No 2 Elebolo Street, Bashorun, Ibadan",false,true,logo_1685007500.png,201.93023620024,40.360985474024,111.75256122824,111.75256122824,1024,1024,141.29285232851,100.69344944692,3764.2018704238,3764.2018704238,0,1,1,ng,Moffytee Bakery,true,NGN,+2348144891714,0,0,0,weekly,1,50,40,10,0,active,2023-08-01T17:02:22.754Z,3455310,
64c93aa25c8dd4f51ba6ab93,1116,2023-08-01T17:02:22.754Z,partners@feedthefuturetoday.org,,Nigeria,Ikeja,901101,"58 Allen Avenue, Ikeja Lagos",true,true,logo_1684850544.png,,,,,,,,,,,,,,ng,Feed The Future Today,true,NGN,+234 706 847 0056,0,0,0,weekly,1,50,40,10,0,active,2023-08-01T17:02:22.754Z,07068470056,feedthefuturetoday.org
64c93aa25c8dd4f51ba6ab92,1113,2023-08-01T17:02:22.754Z,ijeoma.ilife@tdafrica.com,,Nigeria,Lagos,0000000,"1, Redemption crescent, gbagada",false,true,logo_1683042759.jpg,245.98416656515,82.984166565147,123.05250086971,123.05250086971,1024,1024,-242.01095427262,-262.8150824448,3422.0017003853,3422.0017003853,0,1,1,ng,iGroceries,true,NGN,09070040267,0,0,0,monthly,1,50,40,10,0,active,2023-08-01T17:02:22.754Z,0000000000,
64c93aa25c8dd4f51ba6ab91,1110,2023-08-01T17:02:22.754Z,samuel@mpharma.com,,Nigeria,Lagos,1014,"Plot 9, SBN gate Surulere Industrial Road end of Adeniyi Jones Ikeja",false,true,logo_1682610096.jpg,229.23666261537,75.729947550695,84.043107284851,84.043107284851,1024,1024,-144.22054240633,-296.44151789236,5010.1526895341,5010.1526895341,0,1,1,ng,mPharma,true,NGN,+2348106211861,0,0,0,monthly,1,50,50,0,0,active,2023-08-01T17:02:22.754Z,0000000000,
64c93aa25c8dd4f51ba6ab8e,1101,2023-08-01T17:02:22.754Z,contact@webirium.com,,Nigeria,Esbjerg,,test address,false,true,logo_1682396178.png,218.68530097478,50.099757418054,163.57100691928,163.77624030312,797,798,-5.0072597609743,7.5908054678264,2001.0619329973,2001.0619329973,0,1,1,ng,Test company,true,NGN,+4521201091,0,0,0,monthly,1,50,40,10,0,not-verified,2023-08-01T17:02:22.754Z,,
64c93aa25c8dd4f51ba6ab8d,1098,2023-08-01T17:02:22.754Z,1098,,Nigeria,Lagos,1014,"Plot 9, SBN gate Surulere Industrial Road end of Adeniyi Jones Ikeja.",false,true,logo_1681982260.png,,,,,,,,,,,,,,ng,mPharma,true,NGN,+2348106211861,0,0,0,monthly,1,50,40,10,0,active,2023-08-01T17:02:22.754Z,0000000000,
64c93aa25c8dd4f51ba6ab87,1083,2023-08-01T17:02:22.754Z,pif-test2@pif-app.com,,Nigeria,Lagos,100101,Iganmu Isanlu,false,true,logo_1680956823.png,218.68530097478,50.099757418054,163.57100691928,163.77624030312,797,798,-5.0072597609743,7.5908054678264,2001.0619329973,2001.0619329973,0,1,1,ng,PIF Test Supplier,true,NGN,090123456578900,0,0,0,daily,1,50,40,10,0,active,2023-08-01T17:02:22.754Z,0,
64c93aa25c8dd4f51ba6ab7f,1056,2023-08-01T17:02:22.754Z,zhangyiqihansen@gmail.com,,Nigeria,Lagos,100001,"4 Metal Box Road Industrial Estate, Ogba Ikeja, Lagos Nigeria",false,true,logo_1680174713.png,,,,,,,,,,,,,,ng,ABC,true,NGN,+23407027105754,0,0,0,monthly,1,50,40,10,0,not-verified,2023-08-01T17:02:22.754Z,1234567,
64c93aa25c8dd4f51ba6ab79,1041,2023-08-01T17:02:22.754Z,sarahogwu1996@gmail.com,,Nigeria,"Ikotun, Lagos",100218,"20 Ayo Ajilore street, Nobex bus stop, Ikotun Lagos",false,true,logo_1679047780.jpeg,153.53462897292,66.708360277073,198.43082928826,148.82312196619,1280,960,411.82729038518,-98.891615708301,2651.3442926539,2651.3442926539,0,1,1,ng,Bloom Fashion Store,true,NGN,09032919544,0,0,0,daily,1,50,40,10,0,active,2023-08-01T17:02:22.754Z,340001,
64c93aa25c8dd4f51ba6ab78,1038,2023-08-01T17:02:22.754Z,taiyesaibu@gmail.com,,Nigeria,"Yaba, Lagos",100218,Tajudeen Olanrewaju Housing Estate,false,true,logo_1679048534.jpeg,221.53975708381,53.261826256105,76.36979321739,76.36979321739,1080,1080,-58.857530198075,-26.643677177453,5812.5599562173,5812.5599562173,0,1,1,ng,Taiwo Bakery,true,NGN,0817 947 0628,0,0,0,daily,1,50,40,10,0,active,2023-08-01T17:02:22.754Z,348898,
64c93aa25c8dd4f51ba6ab77,1035,2023-08-01T17:02:22.754Z,1035,,Nigeria,"Ojota, Lagos",100218,"57 Ogudu road, Ogudu Ojota Lagos.",false,true,logo_1678888740.jpeg,258.76760625524,92.049613194248,67.205418031303,84.006772539129,1024,1280,-4.3822120953644,6.5577525086489,5010.1526895341,5010.1526895341,0,1,1,ng,Meals With Meems NG,true,NGN,08168331345,0,0,0,daily,1,50,40,10,0,active,2023-08-01T17:02:22.754Z,4532221,
64c93aa25c8dd4f51ba6ab75,1029,2023-08-01T17:02:22.754Z,fdnaturales@gmail.com,,Nigeria,"Anthony, Lagos",100218,"59, ADEBAYO MOKUOLU STREET, ANTHONY, LAGOS",false,true,logo_1678975702.png,220.93767726673,55.616951095228,69.427084743082,69.427084743082,1200,1200,-61.5304406901,-73.27122740495,7104.2399464878,7104.2399464878,0,1,1,ng,FD NATURALES,true,NGN,08181044725,0,0,0,daily,1,50,40,10,0,active,2023-08-01T17:02:22.754Z,RC:1487409,www.fdnaturales.com
64c93aa25c8dd4f51ba6ab74,1026,2023-08-01T17:02:22.754Z,1026,,Nigeria,"Isashi Ojo, Lagos",100218,"Shop B, number 3 Seriki Street ogo oluwa, isashi ojo lagos",false,true,logo_1678867092.jpeg,219.89508074313,54.262034520754,77.227880781631,76.36979321739,1080,1068,-35.203438642441,-40.335135586879,5747.9759567038,5747.9759567038,0,1,1,ng,Maudy's Kitchen,true,NGN,08139374996,0,0,0,daily,1,50,40,10,0,active,2023-08-01T17:02:22.754Z,BN2694936,
64c93aa25c8dd4f51ba6ab72,1020,2023-08-01T17:02:22.754Z,steven.m.nielsen@hotmail.com,,Nigeria,Esbjerg,6700,"Skolegade 58, 1. 38",false,true,logo_1678802583.png,,,,,,,,,,,,,,ng,Pankado,true,NGN,+212010914,0,0,0,monthly,1,50,40,10,0,not-verified,2023-08-01T17:02:22.754Z,12345678,
64c93aa25c8dd4f51ba6ab71,1017,2023-08-01T17:02:22.754Z,garubarahma@gmail.com,,Nigeria,"Sangotedo, Lagos",100218,"Idowu Dabiri, Sangotedo, Lagos State, Nigeria.",false,true,logo_1678223372.png,218.68530097478,50.099757418054,163.57100691928,163.77624030312,797,798,-5.0072597609743,7.5908054678264,2001.0619329973,2001.0619329973,0,1,1,ng,Everything Olere,true,NGN,08168927785,0,0,0,daily,1,50,40,10,0,not-verified,2023-08-01T17:02:22.754Z,3557605,
